"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 03 02:02:24 GMT 2024","Wed Apr 03 02:02:25 GMT 2024","944","firefox","API/getComicCharacters.spec.js","Fetch characters of a specified comic from Marvel API Tests","","","Fetch X-Man character of a specified comic without a parameter",""
"passed","Wed Apr 03 02:01:48 GMT 2024","Wed Apr 03 02:01:51 GMT 2024","3473","chromium","UI/cart.spec.js","Cart Tests","","","Remove product from cart",""
"passed","Wed Apr 03 02:01:38 GMT 2024","Wed Apr 03 02:01:39 GMT 2024","285","chromium","API/getCharacters.spec.js","Fetch characters from Marvel API Tests","","","Fetch less than 1 character",""
"passed","Wed Apr 03 02:02:05 GMT 2024","Wed Apr 03 02:02:08 GMT 2024","2349","chromium","UI/login.spec.js","Login Tests","","","Go to the Forgot Password page",""
"passed","Wed Apr 03 02:02:20 GMT 2024","Wed Apr 03 02:02:21 GMT 2024","237","firefox","API/getCharacters.spec.js","Fetch characters from Marvel API Tests","","","Fetch less than 1 character",""
"passed","Wed Apr 03 02:01:40 GMT 2024","Wed Apr 03 02:01:41 GMT 2024","1113","chromium","API/getComicCharacters.spec.js","Fetch characters of a specified comic from Marvel API Tests","","","Fetch less than 1 X-Man character of a specified comic",""
"passed","Wed Apr 03 02:02:23 GMT 2024","Wed Apr 03 02:02:24 GMT 2024","1078","firefox","API/getComicCharacters.spec.js","Fetch characters of a specified comic from Marvel API Tests","","","Fetch X-Man character of a specified comic without ComicID",""
"passed","Wed Apr 03 02:02:59 GMT 2024","Wed Apr 03 02:03:01 GMT 2024","1414","webkit","API/getCharacters.spec.js","Fetch characters from Marvel API Tests","","","Fetch All Characters",""
"passed","Wed Apr 03 02:01:43 GMT 2024","Wed Apr 03 02:01:44 GMT 2024","1062","chromium","API/getComicCharacters.spec.js","Fetch characters of a specified comic from Marvel API Tests","","","Fetch X-Man character of a specified comic with invalid credentials",""
"passed","Wed Apr 03 02:02:29 GMT 2024","Wed Apr 03 02:02:30 GMT 2024","679","firefox","API/getComics.spec.js","Fetch Comics from Marvel API Tests","","","Fetch less than 1 Spider-Man Comic",""
"passed","Wed Apr 03 02:02:55 GMT 2024","Wed Apr 03 02:02:59 GMT 2024","3157","firefox","UI/tshirtGallery.spec.js","T-Shirt Gallery tests","","","Add a TShirt to the cart",""
"passed","Wed Apr 03 02:03:18 GMT 2024","Wed Apr 03 02:03:24 GMT 2024","6154","webkit","UI/createAccount.spec.js","Create Account Tests","","","Create account",""
"passed","Wed Apr 03 02:01:36 GMT 2024","Wed Apr 03 02:01:38 GMT 2024","1492","chromium","API/getCharacters.spec.js","Fetch characters from Marvel API Tests","","","Fetch All Characters",""
"passed","Wed Apr 03 02:03:01 GMT 2024","Wed Apr 03 02:03:03 GMT 2024","1259","webkit","API/getComicCharacters.spec.js","Fetch characters of a specified comic from Marvel API Tests","","","Fetch X-Man characters of a specified comic",""
"passed","Wed Apr 03 02:03:48 GMT 2024","Wed Apr 03 02:03:52 GMT 2024","3792","webkit","UI/navbar.spec.js","Navbar tests","","","Go to the T-Shirts Gallery",""
"passed","Wed Apr 03 02:02:30 GMT 2024","Wed Apr 03 02:02:34 GMT 2024","4135","firefox","UI/cart.spec.js","Cart Tests","","","Remove product from cart",""
"passed","Wed Apr 03 02:03:56 GMT 2024","Wed Apr 03 02:04:01 GMT 2024","5359","webkit","UI/tshirtGallery.spec.js","T-Shirt Gallery tests","","","Add a TShirt to the cart",""
"passed","Wed Apr 03 02:02:08 GMT 2024","Wed Apr 03 02:02:12 GMT 2024","3850","chromium","UI/login.spec.js","Login Tests","","","Log out",""
"passed","Wed Apr 03 02:02:46 GMT 2024","Wed Apr 03 02:02:48 GMT 2024","2261","firefox","UI/login.spec.js","Login Tests","","","Go to the Forgot Password page",""
"passed","Wed Apr 03 02:03:07 GMT 2024","Wed Apr 03 02:03:09 GMT 2024","2497","webkit","API/getComics.spec.js","Fetch Comics from Marvel API Tests","","","Fetch Spider-Man Comics",""
"passed","Wed Apr 03 02:03:06 GMT 2024","Wed Apr 03 02:03:07 GMT 2024","1066","webkit","API/getComicCharacters.spec.js","Fetch characters of a specified comic from Marvel API Tests","","","Fetch X-Man character of a specified comic with invalid credentials",""
"passed","Wed Apr 03 02:01:47 GMT 2024","Wed Apr 03 02:01:47 GMT 2024","603","chromium","API/getComics.spec.js","Fetch Comics from Marvel API Tests","","","Fetch more than 100 Spider-Man Comics",""
"passed","Wed Apr 03 02:03:10 GMT 2024","Wed Apr 03 02:03:11 GMT 2024","571","webkit","API/getComics.spec.js","Fetch Comics from Marvel API Tests","","","Fetch less than 1 Spider-Man Comic",""
"passed","Wed Apr 03 02:02:53 GMT 2024","Wed Apr 03 02:02:55 GMT 2024","2182","firefox","UI/tshirtGallery.spec.js","T-Shirt Gallery tests","","","Go to a T-Shirt product detail page",""
"passed","Wed Apr 03 02:01:55 GMT 2024","Wed Apr 03 02:02:00 GMT 2024","4578","chromium","UI/createAccount.spec.js","Create Account Tests","","","Create  with a used username",""
"passed","Wed Apr 03 02:02:38 GMT 2024","Wed Apr 03 02:02:41 GMT 2024","3422","firefox","UI/createAccount.spec.js","Create Account Tests","","","Create  with a used username",""
"passed","Wed Apr 03 02:02:15 GMT 2024","Wed Apr 03 02:02:18 GMT 2024","2832","chromium","UI/tshirtGallery.spec.js","T-Shirt Gallery tests","","","Add a TShirt to the cart",""
"passed","Wed Apr 03 02:03:30 GMT 2024","Wed Apr 03 02:03:34 GMT 2024","4568","webkit","UI/login.spec.js","Login Tests","","","Login with valid credentials",""
"passed","Wed Apr 03 02:03:05 GMT 2024","Wed Apr 03 02:03:06 GMT 2024","1028","webkit","API/getComicCharacters.spec.js","Fetch characters of a specified comic from Marvel API Tests","","","Fetch X-Man character of a specified comic without a parameter",""
"passed","Wed Apr 03 02:01:41 GMT 2024","Wed Apr 03 02:01:42 GMT 2024","1102","chromium","API/getComicCharacters.spec.js","Fetch characters of a specified comic from Marvel API Tests","","","Fetch X-Man character of a specified comic without ComicID",""
"passed","Wed Apr 03 02:01:44 GMT 2024","Wed Apr 03 02:01:47 GMT 2024","2531","chromium","API/getComics.spec.js","Fetch Comics from Marvel API Tests","","","Fetch Spider-Man Comics",""
"passed","Wed Apr 03 02:03:09 GMT 2024","Wed Apr 03 02:03:10 GMT 2024","611","webkit","API/getComics.spec.js","Fetch Comics from Marvel API Tests","","","Fetch more than 100 Spider-Man Comics",""
"passed","Wed Apr 03 02:01:47 GMT 2024","Wed Apr 03 02:01:48 GMT 2024","580","chromium","API/getComics.spec.js","Fetch Comics from Marvel API Tests","","","Fetch less than 1 Spider-Man Comic",""
"passed","Wed Apr 03 02:02:44 GMT 2024","Wed Apr 03 02:02:46 GMT 2024","2454","firefox","UI/login.spec.js","Login Tests","","","Login with invalid credentials",""
