"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 03 22:20:13 GMT 2024","Wed Apr 03 22:20:18 GMT 2024","4625","firefox","UI/cart.spec.js","Cart Tests","","","Remove product from cart",""
"passed","Wed Apr 03 22:19:20 GMT 2024","Wed Apr 03 22:19:24 GMT 2024","4280","chromium","UI/cart.spec.js","Cart Tests","","","Remove product from cart",""
"passed","Wed Apr 03 22:21:01 GMT 2024","Wed Apr 03 22:21:02 GMT 2024","736","webkit","API/getComics.spec.js","Fetch Comics from Marvel API Tests","","","Fetch less than 1 Spider-Man Comic",""
"passed","Wed Apr 03 22:19:13 GMT 2024","Wed Apr 03 22:19:15 GMT 2024","1144","chromium","API/getComicCharacters.spec.js","Fetch characters of a specified comic from Marvel API Tests","","","Fetch X-Man character of a specified comic without a parameter",""
"passed","Wed Apr 03 22:20:51 GMT 2024","Wed Apr 03 22:20:51 GMT 2024","315","webkit","API/getCharacters.spec.js","Fetch characters from Marvel API Tests","","","Fetch less than 1 character",""
"passed","Wed Apr 03 22:20:53 GMT 2024","Wed Apr 03 22:20:54 GMT 2024","1296","webkit","API/getComicCharacters.spec.js","Fetch characters of a specified comic from Marvel API Tests","","","Fetch less than 1 X-Man character of a specified comic",""
"passed","Wed Apr 03 22:20:04 GMT 2024","Wed Apr 03 22:20:05 GMT 2024","1225","firefox","API/getComicCharacters.spec.js","Fetch characters of a specified comic from Marvel API Tests","","","Fetch less than 1 X-Man character of a specified comic",""
"passed","Wed Apr 03 22:19:19 GMT 2024","Wed Apr 03 22:19:20 GMT 2024","723","chromium","API/getComics.spec.js","Fetch Comics from Marvel API Tests","","","Fetch less than 1 Spider-Man Comic",""
"passed","Wed Apr 03 22:20:56 GMT 2024","Wed Apr 03 22:20:58 GMT 2024","1204","webkit","API/getComicCharacters.spec.js","Fetch characters of a specified comic from Marvel API Tests","","","Fetch X-Man character of a specified comic with invalid credentials",""
"passed","Wed Apr 03 22:20:55 GMT 2024","Wed Apr 03 22:20:56 GMT 2024","1169","webkit","API/getComicCharacters.spec.js","Fetch characters of a specified comic from Marvel API Tests","","","Fetch X-Man character of a specified comic without a parameter",""
"passed","Wed Apr 03 22:19:12 GMT 2024","Wed Apr 03 22:19:13 GMT 2024","1281","chromium","API/getComicCharacters.spec.js","Fetch characters of a specified comic from Marvel API Tests","","","Fetch X-Man character of a specified comic without ComicID",""
"passed","Wed Apr 03 22:21:46 GMT 2024","Wed Apr 03 22:21:51 GMT 2024","4916","webkit","UI/navbar.spec.js","Navbar tests","","","Go to the T-Shirts Gallery",""
"passed","Wed Apr 03 22:19:38 GMT 2024","Wed Apr 03 22:19:42 GMT 2024","3848","chromium","UI/login.spec.js","Login Tests","","","Login with invalid credentials",""
"passed","Wed Apr 03 22:20:51 GMT 2024","Wed Apr 03 22:20:53 GMT 2024","1592","webkit","API/getComicCharacters.spec.js","Fetch characters of a specified comic from Marvel API Tests","","","Fetch X-Man characters of a specified comic",""
"passed","Wed Apr 03 22:19:56 GMT 2024","Wed Apr 03 22:20:00 GMT 2024","3397","chromium","UI/tshirtGallery.spec.js","T-Shirt Gallery tests","","","Add a TShirt to the cart",""
"passed","Wed Apr 03 22:21:35 GMT 2024","Wed Apr 03 22:21:40 GMT 2024","4864","webkit","UI/login.spec.js","Login Tests","","","Go to the Forgot Password page",""
"passed","Wed Apr 03 22:19:09 GMT 2024","Wed Apr 03 22:19:11 GMT 2024","1498","chromium","API/getComicCharacters.spec.js","Fetch characters of a specified comic from Marvel API Tests","","","Fetch X-Man characters of a specified comic",""
"passed","Wed Apr 03 22:19:11 GMT 2024","Wed Apr 03 22:19:12 GMT 2024","1277","chromium","API/getComicCharacters.spec.js","Fetch characters of a specified comic from Marvel API Tests","","","Fetch less than 1 X-Man character of a specified comic",""
"passed","Wed Apr 03 22:19:42 GMT 2024","Wed Apr 03 22:19:45 GMT 2024","3066","chromium","UI/login.spec.js","Login Tests","","","Go to the Forgot Password page",""
"passed","Wed Apr 03 22:20:08 GMT 2024","Wed Apr 03 22:20:09 GMT 2024","1108","firefox","API/getComicCharacters.spec.js","Fetch characters of a specified comic from Marvel API Tests","","","Fetch X-Man character of a specified comic with invalid credentials",""
"passed","Wed Apr 03 22:19:49 GMT 2024","Wed Apr 03 22:19:53 GMT 2024","3748","chromium","UI/navbar.spec.js","Navbar tests","","","Go to the T-Shirts Gallery",""
"passed","Wed Apr 03 22:20:18 GMT 2024","Wed Apr 03 22:20:22 GMT 2024","4244","firefox","UI/createAccount.spec.js","Create Account Tests","","","Create account",""
"passed","Wed Apr 03 22:20:09 GMT 2024","Wed Apr 03 22:20:12 GMT 2024","2831","firefox","API/getComics.spec.js","Fetch Comics from Marvel API Tests","","","Fetch Spider-Man Comics",""
"passed","Wed Apr 03 22:19:16 GMT 2024","Wed Apr 03 22:19:19 GMT 2024","2923","chromium","API/getComics.spec.js","Fetch Comics from Marvel API Tests","","","Fetch Spider-Man Comics",""
"passed","Wed Apr 03 22:20:02 GMT 2024","Wed Apr 03 22:20:02 GMT 2024","322","firefox","API/getCharacters.spec.js","Fetch characters from Marvel API Tests","","","Fetch more than 100 characters",""
"passed","Wed Apr 03 22:19:09 GMT 2024","Wed Apr 03 22:19:09 GMT 2024","331","chromium","API/getCharacters.spec.js","Fetch characters from Marvel API Tests","","","Fetch less than 1 character",""
"passed","Wed Apr 03 22:20:02 GMT 2024","Wed Apr 03 22:20:04 GMT 2024","1417","firefox","API/getComicCharacters.spec.js","Fetch characters of a specified comic from Marvel API Tests","","","Fetch X-Man characters of a specified comic",""
"passed","Wed Apr 03 22:19:07 GMT 2024","Wed Apr 03 22:19:09 GMT 2024","1695","chromium","API/getCharacters.spec.js","Fetch characters from Marvel API Tests","","","Fetch All Characters",""
"passed","Wed Apr 03 22:20:49 GMT 2024","Wed Apr 03 22:20:50 GMT 2024","1564","webkit","API/getCharacters.spec.js","Fetch characters from Marvel API Tests","","","Fetch All Characters",""
"passed","Wed Apr 03 22:21:09 GMT 2024","Wed Apr 03 22:21:17 GMT 2024","7433","webkit","UI/createAccount.spec.js","Create Account Tests","","","Create account",""
"passed","Wed Apr 03 22:20:54 GMT 2024","Wed Apr 03 22:20:55 GMT 2024","1226","webkit","API/getComicCharacters.spec.js","Fetch characters of a specified comic from Marvel API Tests","","","Fetch X-Man character of a specified comic without ComicID",""
"passed","Wed Apr 03 22:20:13 GMT 2024","Wed Apr 03 22:20:13 GMT 2024","709","firefox","API/getComics.spec.js","Fetch Comics from Marvel API Tests","","","Fetch less than 1 Spider-Man Comic",""
"passed","Wed Apr 03 22:21:56 GMT 2024","Wed Apr 03 22:22:02 GMT 2024","6406","webkit","UI/tshirtGallery.spec.js","T-Shirt Gallery tests","","","Add a TShirt to the cart",""
"passed","Wed Apr 03 22:19:45 GMT 2024","Wed Apr 03 22:19:49 GMT 2024","3949","chromium","UI/login.spec.js","Login Tests","","","Log out",""
"passed","Wed Apr 03 22:20:50 GMT 2024","Wed Apr 03 22:20:51 GMT 2024","322","webkit","API/getCharacters.spec.js","Fetch characters from Marvel API Tests","","","Fetch more than 100 characters",""
"passed","Wed Apr 03 22:20:22 GMT 2024","Wed Apr 03 22:20:27 GMT 2024","4138","firefox","UI/createAccount.spec.js","Create Account Tests","","","Create  with a used username",""
"passed","Wed Apr 03 22:20:12 GMT 2024","Wed Apr 03 22:20:13 GMT 2024","862","firefox","API/getComics.spec.js","Fetch Comics from Marvel API Tests","","","Fetch more than 100 Spider-Man Comics",""
"passed","Wed Apr 03 22:21:02 GMT 2024","Wed Apr 03 22:21:09 GMT 2024","7725","webkit","UI/cart.spec.js","Cart Tests","","","Remove product from cart",""
"passed","Wed Apr 03 22:21:17 GMT 2024","Wed Apr 03 22:21:24 GMT 2024","7177","webkit","UI/createAccount.spec.js","Create Account Tests","","","Create  with a used username",""
"passed","Wed Apr 03 22:19:19 GMT 2024","Wed Apr 03 22:19:19 GMT 2024","757","chromium","API/getComics.spec.js","Fetch Comics from Marvel API Tests","","","Fetch more than 100 Spider-Man Comics",""
"passed","Wed Apr 03 22:20:30 GMT 2024","Wed Apr 03 22:20:32 GMT 2024","2937","firefox","UI/login.spec.js","Login Tests","","","Login with invalid credentials",""
"passed","Wed Apr 03 22:20:40 GMT 2024","Wed Apr 03 22:20:42 GMT 2024","2346","firefox","UI/navbar.spec.js","Navbar tests","","","Go to the T-Shirts Gallery",""
"passed","Wed Apr 03 22:20:35 GMT 2024","Wed Apr 03 22:20:40 GMT 2024","4296","firefox","UI/login.spec.js","Login Tests","","","Log out",""
"passed","Wed Apr 03 22:20:00 GMT 2024","Wed Apr 03 22:20:02 GMT 2024","1560","firefox","API/getCharacters.spec.js","Fetch characters from Marvel API Tests","","","Fetch All Characters",""
"passed","Wed Apr 03 22:21:00 GMT 2024","Wed Apr 03 22:21:01 GMT 2024","715","webkit","API/getComics.spec.js","Fetch Comics from Marvel API Tests","","","Fetch more than 100 Spider-Man Comics",""
"passed","Wed Apr 03 22:20:05 GMT 2024","Wed Apr 03 22:20:07 GMT 2024","1854","firefox","API/getComicCharacters.spec.js","Fetch characters of a specified comic from Marvel API Tests","","","Fetch X-Man character of a specified comic without ComicID",""
"passed","Wed Apr 03 22:20:02 GMT 2024","Wed Apr 03 22:20:02 GMT 2024","315","firefox","API/getCharacters.spec.js","Fetch characters from Marvel API Tests","","","Fetch less than 1 character",""
"passed","Wed Apr 03 22:19:29 GMT 2024","Wed Apr 03 22:19:33 GMT 2024","4530","chromium","UI/createAccount.spec.js","Create Account Tests","","","Create  with a used username",""
"passed","Wed Apr 03 22:21:51 GMT 2024","Wed Apr 03 22:21:56 GMT 2024","4920","webkit","UI/tshirtGallery.spec.js","T-Shirt Gallery tests","","","Go to a T-Shirt product detail page",""
"passed","Wed Apr 03 22:20:42 GMT 2024","Wed Apr 03 22:20:45 GMT 2024","2596","firefox","UI/tshirtGallery.spec.js","T-Shirt Gallery tests","","","Go to a T-Shirt product detail page",""
"passed","Wed Apr 03 22:20:45 GMT 2024","Wed Apr 03 22:20:48 GMT 2024","3446","firefox","UI/tshirtGallery.spec.js","T-Shirt Gallery tests","","","Add a TShirt to the cart",""
"passed","Wed Apr 03 22:19:15 GMT 2024","Wed Apr 03 22:19:16 GMT 2024","1090","chromium","API/getComicCharacters.spec.js","Fetch characters of a specified comic from Marvel API Tests","","","Fetch X-Man character of a specified comic with invalid credentials",""
"passed","Wed Apr 03 22:19:09 GMT 2024","Wed Apr 03 22:19:09 GMT 2024","329","chromium","API/getCharacters.spec.js","Fetch characters from Marvel API Tests","","","Fetch more than 100 characters",""
"passed","Wed Apr 03 22:19:24 GMT 2024","Wed Apr 03 22:19:29 GMT 2024","4548","chromium","UI/createAccount.spec.js","Create Account Tests","","","Create account",""
"passed","Wed Apr 03 22:20:07 GMT 2024","Wed Apr 03 22:20:08 GMT 2024","1105","firefox","API/getComicCharacters.spec.js","Fetch characters of a specified comic from Marvel API Tests","","","Fetch X-Man character of a specified comic without a parameter",""
"passed","Wed Apr 03 22:19:33 GMT 2024","Wed Apr 03 22:19:38 GMT 2024","4799","chromium","UI/login.spec.js","Login Tests","","","Login with valid credentials",""
"passed","Wed Apr 03 22:19:53 GMT 2024","Wed Apr 03 22:19:56 GMT 2024","3550","chromium","UI/tshirtGallery.spec.js","T-Shirt Gallery tests","","","Go to a T-Shirt product detail page",""
"passed","Wed Apr 03 22:21:29 GMT 2024","Wed Apr 03 22:21:35 GMT 2024","5368","webkit","UI/login.spec.js","Login Tests","","","Login with invalid credentials",""
"passed","Wed Apr 03 22:21:40 GMT 2024","Wed Apr 03 22:21:46 GMT 2024","6221","webkit","UI/login.spec.js","Login Tests","","","Log out",""
"passed","Wed Apr 03 22:20:32 GMT 2024","Wed Apr 03 22:20:35 GMT 2024","2801","firefox","UI/login.spec.js","Login Tests","","","Go to the Forgot Password page",""
"passed","Wed Apr 03 22:21:24 GMT 2024","Wed Apr 03 22:21:29 GMT 2024","5507","webkit","UI/login.spec.js","Login Tests","","","Login with valid credentials",""
"passed","Wed Apr 03 22:20:58 GMT 2024","Wed Apr 03 22:21:00 GMT 2024","2644","webkit","API/getComics.spec.js","Fetch Comics from Marvel API Tests","","","Fetch Spider-Man Comics",""
"passed","Wed Apr 03 22:20:27 GMT 2024","Wed Apr 03 22:20:30 GMT 2024","3034","firefox","UI/login.spec.js","Login Tests","","","Login with valid credentials",""
