"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 03 22:41:05 GMT 2024","Wed Apr 03 22:41:08 GMT 2024","2563","chromium","UI/navbar.spec.js","Navbar tests","","","Go to the T-Shirts Gallery",""
"passed","Wed Apr 03 22:40:25 GMT 2024","Wed Apr 03 22:40:25 GMT 2024","343","chromium","API/getCharacters.spec.js","Fetch characters from Marvel API Tests","","","Fetch less than 1 character",""
"passed","Wed Apr 03 22:41:20 GMT 2024","Wed Apr 03 22:41:22 GMT 2024","1111","firefox","API/getComicCharacters.spec.js","Fetch characters of a specified comic from Marvel API Tests","","","Fetch X-Man character of a specified comic without ComicID",""
"passed","Wed Apr 03 22:41:56 GMT 2024","Wed Apr 03 22:41:58 GMT 2024","2499","firefox","UI/tshirtGallery.spec.js","T-Shirt Gallery tests","","","Go to a T-Shirt product detail page",""
"passed","Wed Apr 03 22:40:25 GMT 2024","Wed Apr 03 22:40:25 GMT 2024","268","chromium","API/getCharacters.spec.js","Fetch characters from Marvel API Tests","","","Fetch more than 100 characters",""
"passed","Wed Apr 03 22:42:09 GMT 2024","Wed Apr 03 22:42:10 GMT 2024","937","webkit","API/getComicCharacters.spec.js","Fetch characters of a specified comic from Marvel API Tests","","","Fetch X-Man character of a specified comic without a parameter",""
"passed","Wed Apr 03 22:41:11 GMT 2024","Wed Apr 03 22:41:16 GMT 2024","4383","chromium","UI/tshirtGallery.spec.js","T-Shirt Gallery tests","","","Add a TShirt to the cart",""
"passed","Wed Apr 03 22:41:36 GMT 2024","Wed Apr 03 22:41:40 GMT 2024","3987","firefox","UI/createAccount.spec.js","Create Account Tests","","","Create  with a used username",""
"passed","Wed Apr 03 22:40:34 GMT 2024","Wed Apr 03 22:40:35 GMT 2024","598","chromium","API/getComics.spec.js","Fetch Comics from Marvel API Tests","","","Fetch less than 1 Spider-Man Comic",""
"passed","Wed Apr 03 22:42:11 GMT 2024","Wed Apr 03 22:42:13 GMT 2024","2400","webkit","API/getComics.spec.js","Fetch Comics from Marvel API Tests","","","Fetch Spider-Man Comics",""
"passed","Wed Apr 03 22:42:08 GMT 2024","Wed Apr 03 22:42:09 GMT 2024","1082","webkit","API/getComicCharacters.spec.js","Fetch characters of a specified comic from Marvel API Tests","","","Fetch X-Man character of a specified comic without ComicID",""
"passed","Wed Apr 03 22:40:45 GMT 2024","Wed Apr 03 22:40:50 GMT 2024","4495","chromium","UI/createAccount.spec.js","Create Account Tests","","","Create  with a used username",""
"passed","Wed Apr 03 22:41:53 GMT 2024","Wed Apr 03 22:41:56 GMT 2024","2240","firefox","UI/navbar.spec.js","Navbar tests","","","Go to the T-Shirts Gallery",""
"passed","Wed Apr 03 22:41:49 GMT 2024","Wed Apr 03 22:41:53 GMT 2024","4003","firefox","UI/login.spec.js","Login Tests","","","Log out",""
"passed","Wed Apr 03 22:42:13 GMT 2024","Wed Apr 03 22:42:14 GMT 2024","699","webkit","API/getComics.spec.js","Fetch Comics from Marvel API Tests","","","Fetch more than 100 Spider-Man Comics",""
"passed","Wed Apr 03 22:40:39 GMT 2024","Wed Apr 03 22:40:45 GMT 2024","5936","chromium","UI/createAccount.spec.js","Create Account Tests","","","Create account",""
"passed","Wed Apr 03 22:41:08 GMT 2024","Wed Apr 03 22:41:11 GMT 2024","3749","chromium","UI/tshirtGallery.spec.js","T-Shirt Gallery tests","","","Go to a T-Shirt product detail page",""
"passed","Wed Apr 03 22:42:14 GMT 2024","Wed Apr 03 22:42:14 GMT 2024","587","webkit","API/getComics.spec.js","Fetch Comics from Marvel API Tests","","","Fetch less than 1 Spider-Man Comic",""
"passed","Wed Apr 03 22:40:25 GMT 2024","Wed Apr 03 22:40:27 GMT 2024","1328","chromium","API/getComicCharacters.spec.js","Fetch characters of a specified comic from Marvel API Tests","","","Fetch X-Man characters of a specified comic",""
