"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 03 23:07:42 GMT 2024","Wed Apr 03 23:07:46 GMT 2024","4447","firefox","UI/cart.spec.js","Cart Tests","","","Remove product from cart",""
"passed","Wed Apr 03 23:09:26 GMT 2024","Wed Apr 03 23:09:31 GMT 2024","4933","webkit","UI/login.spec.js","Login Tests","","","Log out",""
"passed","Wed Apr 03 23:08:44 GMT 2024","Wed Apr 03 23:08:44 GMT 2024","313","webkit","API/getCharacters.spec.js","Fetch characters from Marvel API Tests","","","Fetch more than 100 characters",""
"passed","Wed Apr 03 23:07:31 GMT 2024","Wed Apr 03 23:07:32 GMT 2024","355","firefox","API/getCharacters.spec.js","Fetch characters from Marvel API Tests","","","Fetch less than 1 character",""
"passed","Wed Apr 03 23:06:47 GMT 2024","Wed Apr 03 23:06:49 GMT 2024","1590","chromium","API/getCharacters.spec.js","Fetch characters from Marvel API Tests","","","Fetch All Characters",""
"passed","Wed Apr 03 23:08:53 GMT 2024","Wed Apr 03 23:08:54 GMT 2024","736","webkit","API/getComics.spec.js","Fetch Comics from Marvel API Tests","","","Fetch more than 100 Spider-Man Comics",""
"passed","Wed Apr 03 23:06:59 GMT 2024","Wed Apr 03 23:07:00 GMT 2024","832","chromium","API/getComics.spec.js","Fetch Comics from Marvel API Tests","","","Fetch more than 100 Spider-Man Comics",""
"passed","Wed Apr 03 23:06:56 GMT 2024","Wed Apr 03 23:06:59 GMT 2024","2757","chromium","API/getComics.spec.js","Fetch Comics from Marvel API Tests","","","Fetch Spider-Man Comics",""
"passed","Wed Apr 03 23:09:18 GMT 2024","Wed Apr 03 23:09:22 GMT 2024","4285","webkit","UI/login.spec.js","Login Tests","","","Login with invalid credentials",""
"passed","Wed Apr 03 23:07:26 GMT 2024","Wed Apr 03 23:07:29 GMT 2024","2675","chromium","UI/tshirtGallery.spec.js","T-Shirt Gallery tests","","","Add a TShirt to the cart",""
"passed","Wed Apr 03 23:06:49 GMT 2024","Wed Apr 03 23:06:51 GMT 2024","1743","chromium","API/getComicCharacters.spec.js","Fetch characters of a specified comic from Marvel API Tests","","","Fetch X-Man characters of a specified comic",""
"passed","Wed Apr 03 23:09:31 GMT 2024","Wed Apr 03 23:09:35 GMT 2024","3561","webkit","UI/navbar.spec.js","Navbar tests","","","Go to the T-Shirts Gallery",""
"passed","Wed Apr 03 23:06:49 GMT 2024","Wed Apr 03 23:06:49 GMT 2024","419","chromium","API/getCharacters.spec.js","Fetch characters from Marvel API Tests","","","Fetch less than 1 character",""
"passed","Wed Apr 03 23:07:15 GMT 2024","Wed Apr 03 23:07:17 GMT 2024","2180","chromium","UI/login.spec.js","Login Tests","","","Login with invalid credentials",""
"passed","Wed Apr 03 23:07:34 GMT 2024","Wed Apr 03 23:07:35 GMT 2024","1222","firefox","API/getComicCharacters.spec.js","Fetch characters of a specified comic from Marvel API Tests","","","Fetch X-Man character of a specified comic without ComicID",""
"passed","Wed Apr 03 23:08:32 GMT 2024","Wed Apr 03 23:08:35 GMT 2024","2946","firefox","UI/login.spec.js","Login Tests","","","Log out",""
"passed","Wed Apr 03 23:09:05 GMT 2024","Wed Apr 03 23:09:10 GMT 2024","4789","webkit","UI/createAccount.spec.js","Create Account Tests","","","Create account",""
"passed","Wed Apr 03 23:08:49 GMT 2024","Wed Apr 03 23:08:51 GMT 2024","1059","webkit","API/getComicCharacters.spec.js","Fetch characters of a specified comic from Marvel API Tests","","","Fetch X-Man character of a specified comic with invalid credentials",""
"passed","Wed Apr 03 23:09:22 GMT 2024","Wed Apr 03 23:09:26 GMT 2024","3941","webkit","UI/login.spec.js","Login Tests","","","Go to the Forgot Password page",""
"passed","Wed Apr 03 23:08:35 GMT 2024","Wed Apr 03 23:08:37 GMT 2024","1768","firefox","UI/navbar.spec.js","Navbar tests","","","Go to the T-Shirts Gallery",""
"passed","Wed Apr 03 23:08:47 GMT 2024","Wed Apr 03 23:08:48 GMT 2024","1206","webkit","API/getComicCharacters.spec.js","Fetch characters of a specified comic from Marvel API Tests","","","Fetch X-Man character of a specified comic without ComicID",""
"passed","Wed Apr 03 23:07:41 GMT 2024","Wed Apr 03 23:07:42 GMT 2024","692","firefox","API/getComics.spec.js","Fetch Comics from Marvel API Tests","","","Fetch less than 1 Spider-Man Comic",""
"passed","Wed Apr 03 23:08:25 GMT 2024","Wed Apr 03 23:08:28 GMT 2024","2223","firefox","UI/login.spec.js","Login Tests","","","Login with valid credentials",""
"passed","Wed Apr 03 23:07:33 GMT 2024","Wed Apr 03 23:07:34 GMT 2024","1212","firefox","API/getComicCharacters.spec.js","Fetch characters of a specified comic from Marvel API Tests","","","Fetch less than 1 X-Man character of a specified comic",""
"passed","Wed Apr 03 23:07:40 GMT 2024","Wed Apr 03 23:07:41 GMT 2024","712","firefox","API/getComics.spec.js","Fetch Comics from Marvel API Tests","","","Fetch more than 100 Spider-Man Comics",""
"passed","Wed Apr 03 23:08:44 GMT 2024","Wed Apr 03 23:08:46 GMT 2024","1452","webkit","API/getComicCharacters.spec.js","Fetch characters of a specified comic from Marvel API Tests","","","Fetch X-Man characters of a specified comic",""
"passed","Wed Apr 03 23:07:32 GMT 2024","Wed Apr 03 23:07:33 GMT 2024","1424","firefox","API/getComicCharacters.spec.js","Fetch characters of a specified comic from Marvel API Tests","","","Fetch X-Man characters of a specified comic",""
"passed","Wed Apr 03 23:09:15 GMT 2024","Wed Apr 03 23:09:18 GMT 2024","2901","webkit","UI/login.spec.js","Login Tests","","","Login with valid credentials",""
"passed","Wed Apr 03 23:07:05 GMT 2024","Wed Apr 03 23:07:09 GMT 2024","3485","chromium","UI/createAccount.spec.js","Create Account Tests","","","Create account",""
"passed","Wed Apr 03 23:06:52 GMT 2024","Wed Apr 03 23:06:54 GMT 2024","1330","chromium","API/getComicCharacters.spec.js","Fetch characters of a specified comic from Marvel API Tests","","","Fetch X-Man character of a specified comic without ComicID",""
"passed","Wed Apr 03 23:07:09 GMT 2024","Wed Apr 03 23:07:12 GMT 2024","3528","chromium","UI/createAccount.spec.js","Create Account Tests","","","Create  with a used username",""
"passed","Wed Apr 03 23:08:55 GMT 2024","Wed Apr 03 23:09:05 GMT 2024","10195","webkit","UI/cart.spec.js","Cart Tests","","","Remove product from cart",""
"passed","Wed Apr 03 23:08:37 GMT 2024","Wed Apr 03 23:08:39 GMT 2024","2268","firefox","UI/tshirtGallery.spec.js","T-Shirt Gallery tests","","","Go to a T-Shirt product detail page",""
"passed","Wed Apr 03 23:09:10 GMT 2024","Wed Apr 03 23:09:15 GMT 2024","5477","webkit","UI/createAccount.spec.js","Create Account Tests","","","Create  with a used username",""
"passed","Wed Apr 03 23:08:51 GMT 2024","Wed Apr 03 23:08:53 GMT 2024","2703","webkit","API/getComics.spec.js","Fetch Comics from Marvel API Tests","","","Fetch Spider-Man Comics",""
"passed","Wed Apr 03 23:08:22 GMT 2024","Wed Apr 03 23:08:25 GMT 2024","2866","firefox","UI/createAccount.spec.js","Create Account Tests","","","Create  with a used username",""
"passed","Wed Apr 03 23:07:00 GMT 2024","Wed Apr 03 23:07:00 GMT 2024","824","chromium","API/getComics.spec.js","Fetch Comics from Marvel API Tests","","","Fetch less than 1 Spider-Man Comic",""
"passed","Wed Apr 03 23:08:39 GMT 2024","Wed Apr 03 23:08:42 GMT 2024","2632","firefox","UI/tshirtGallery.spec.js","T-Shirt Gallery tests","","","Add a TShirt to the cart",""
"passed","Wed Apr 03 23:08:54 GMT 2024","Wed Apr 03 23:08:55 GMT 2024","807","webkit","API/getComics.spec.js","Fetch Comics from Marvel API Tests","","","Fetch less than 1 Spider-Man Comic",""
"passed","Wed Apr 03 23:09:37 GMT 2024","Wed Apr 03 23:09:43 GMT 2024","5711","webkit","UI/tshirtGallery.spec.js","T-Shirt Gallery tests","","","Add a TShirt to the cart",""
"passed","Wed Apr 03 23:08:44 GMT 2024","Wed Apr 03 23:08:44 GMT 2024","298","webkit","API/getCharacters.spec.js","Fetch characters from Marvel API Tests","","","Fetch less than 1 character",""
"passed","Wed Apr 03 23:07:38 GMT 2024","Wed Apr 03 23:07:40 GMT 2024","2641","firefox","API/getComics.spec.js","Fetch Comics from Marvel API Tests","","","Fetch Spider-Man Comics",""
"passed","Wed Apr 03 23:07:35 GMT 2024","Wed Apr 03 23:07:37 GMT 2024","1185","firefox","API/getComicCharacters.spec.js","Fetch characters of a specified comic from Marvel API Tests","","","Fetch X-Man character of a specified comic without a parameter",""
"passed","Wed Apr 03 23:07:00 GMT 2024","Wed Apr 03 23:07:05 GMT 2024","4860","chromium","UI/cart.spec.js","Cart Tests","","","Remove product from cart",""
"passed","Wed Apr 03 23:07:17 GMT 2024","Wed Apr 03 23:07:20 GMT 2024","2099","chromium","UI/login.spec.js","Login Tests","","","Go to the Forgot Password page",""
"passed","Wed Apr 03 23:08:17 GMT 2024","Wed Apr 03 23:08:22 GMT 2024","5297","firefox","UI/createAccount.spec.js","Create Account Tests","","","Create account",""
"passed","Wed Apr 03 23:07:22 GMT 2024","Wed Apr 03 23:07:25 GMT 2024","2198","chromium","UI/navbar.spec.js","Navbar tests","","","Go to the T-Shirts Gallery",""
"passed","Wed Apr 03 23:07:29 GMT 2024","Wed Apr 03 23:07:31 GMT 2024","1700","firefox","API/getCharacters.spec.js","Fetch characters from Marvel API Tests","","","Fetch All Characters",""
"passed","Wed Apr 03 23:06:54 GMT 2024","Wed Apr 03 23:06:55 GMT 2024","1123","chromium","API/getComicCharacters.spec.js","Fetch characters of a specified comic from Marvel API Tests","","","Fetch X-Man character of a specified comic without a parameter",""
"passed","Wed Apr 03 23:07:37 GMT 2024","Wed Apr 03 23:07:38 GMT 2024","1089","firefox","API/getComicCharacters.spec.js","Fetch characters of a specified comic from Marvel API Tests","","","Fetch X-Man character of a specified comic with invalid credentials",""
"passed","Wed Apr 03 23:08:48 GMT 2024","Wed Apr 03 23:08:49 GMT 2024","1065","webkit","API/getComicCharacters.spec.js","Fetch characters of a specified comic from Marvel API Tests","","","Fetch X-Man character of a specified comic without a parameter",""
"passed","Wed Apr 03 23:08:46 GMT 2024","Wed Apr 03 23:08:47 GMT 2024","1259","webkit","API/getComicCharacters.spec.js","Fetch characters of a specified comic from Marvel API Tests","","","Fetch less than 1 X-Man character of a specified comic",""
"passed","Wed Apr 03 23:07:12 GMT 2024","Wed Apr 03 23:07:15 GMT 2024","3051","chromium","UI/login.spec.js","Login Tests","","","Login with valid credentials",""
"passed","Wed Apr 03 23:08:42 GMT 2024","Wed Apr 03 23:08:44 GMT 2024","1529","webkit","API/getCharacters.spec.js","Fetch characters from Marvel API Tests","","","Fetch All Characters",""
"passed","Wed Apr 03 23:06:49 GMT 2024","Wed Apr 03 23:06:49 GMT 2024","365","chromium","API/getCharacters.spec.js","Fetch characters from Marvel API Tests","","","Fetch more than 100 characters",""
"passed","Wed Apr 03 23:09:35 GMT 2024","Wed Apr 03 23:09:37 GMT 2024","2204","webkit","UI/tshirtGallery.spec.js","T-Shirt Gallery tests","","","Go to a T-Shirt product detail page",""
"passed","Wed Apr 03 23:07:20 GMT 2024","Wed Apr 03 23:07:22 GMT 2024","2817","chromium","UI/login.spec.js","Login Tests","","","Log out",""
"passed","Wed Apr 03 23:06:55 GMT 2024","Wed Apr 03 23:06:56 GMT 2024","1124","chromium","API/getComicCharacters.spec.js","Fetch characters of a specified comic from Marvel API Tests","","","Fetch X-Man character of a specified comic with invalid credentials",""
"passed","Wed Apr 03 23:08:28 GMT 2024","Wed Apr 03 23:08:30 GMT 2024","2164","firefox","UI/login.spec.js","Login Tests","","","Login with invalid credentials",""
"passed","Wed Apr 03 23:06:51 GMT 2024","Wed Apr 03 23:06:52 GMT 2024","1298","chromium","API/getComicCharacters.spec.js","Fetch characters of a specified comic from Marvel API Tests","","","Fetch less than 1 X-Man character of a specified comic",""
"passed","Wed Apr 03 23:08:30 GMT 2024","Wed Apr 03 23:08:32 GMT 2024","2262","firefox","UI/login.spec.js","Login Tests","","","Go to the Forgot Password page",""
"passed","Wed Apr 03 23:07:31 GMT 2024","Wed Apr 03 23:07:31 GMT 2024","304","firefox","API/getCharacters.spec.js","Fetch characters from Marvel API Tests","","","Fetch more than 100 characters",""
"passed","Wed Apr 03 23:07:25 GMT 2024","Wed Apr 03 23:07:26 GMT 2024","1655","chromium","UI/tshirtGallery.spec.js","T-Shirt Gallery tests","","","Go to a T-Shirt product detail page",""
