"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 03 22:48:13 GMT 2024","Wed Apr 03 22:48:17 GMT 2024","4128","firefox","UI/login.spec.js","Login Tests","","","Log out",""
"passed","Wed Apr 03 22:48:59 GMT 2024","Wed Apr 03 22:49:06 GMT 2024","6923","webkit","UI/createAccount.spec.js","Create Account Tests","","","Create  with a used username",""
"passed","Wed Apr 03 22:47:18 GMT 2024","Wed Apr 03 22:47:21 GMT 2024","3148","chromium","UI/login.spec.js","Login Tests","","","Go to the Forgot Password page",""
"passed","Wed Apr 03 22:48:52 GMT 2024","Wed Apr 03 22:48:59 GMT 2024","7405","webkit","UI/createAccount.spec.js","Create Account Tests","","","Create account",""
"passed","Wed Apr 03 22:48:38 GMT 2024","Wed Apr 03 22:48:38 GMT 2024","616","webkit","API/getComics.spec.js","Fetch Comics from Marvel API Tests","","","Fetch more than 100 Spider-Man Comics",""
"passed","Wed Apr 03 22:48:18 GMT 2024","Wed Apr 03 22:48:20 GMT 2024","2316","firefox","UI/navbar.spec.js","Navbar tests","","","Go to the T-Shirts Gallery",""
"passed","Wed Apr 03 22:47:37 GMT 2024","Wed Apr 03 22:47:39 GMT 2024","1839","firefox","API/getCharacters.spec.js","Fetch characters from Marvel API Tests","","","Fetch All Characters",""
"passed","Wed Apr 03 22:48:20 GMT 2024","Wed Apr 03 22:48:22 GMT 2024","2566","firefox","UI/tshirtGallery.spec.js","T-Shirt Gallery tests","","","Go to a T-Shirt product detail page",""
"passed","Wed Apr 03 22:47:11 GMT 2024","Wed Apr 03 22:47:14 GMT 2024","3216","chromium","UI/login.spec.js","Login Tests","","","Login with valid credentials",""
"passed","Wed Apr 03 22:46:46 GMT 2024","Wed Apr 03 22:46:46 GMT 2024","268","chromium","API/getCharacters.spec.js","Fetch characters from Marvel API Tests","","","Fetch less than 1 character",""
"passed","Wed Apr 03 22:47:27 GMT 2024","Wed Apr 03 22:47:29 GMT 2024","2497","chromium","UI/navbar.spec.js","Navbar tests","","","Go to the T-Shirts Gallery",""
"passed","Wed Apr 03 22:48:29 GMT 2024","Wed Apr 03 22:48:29 GMT 2024","274","webkit","API/getCharacters.spec.js","Fetch characters from Marvel API Tests","","","Fetch less than 1 character",""
"passed","Wed Apr 03 22:46:44 GMT 2024","Wed Apr 03 22:46:46 GMT 2024","1493","chromium","API/getCharacters.spec.js","Fetch characters from Marvel API Tests","","","Fetch All Characters",""
"passed","Wed Apr 03 22:46:46 GMT 2024","Wed Apr 03 22:46:46 GMT 2024","259","chromium","API/getCharacters.spec.js","Fetch characters from Marvel API Tests","","","Fetch more than 100 characters",""
"passed","Wed Apr 03 22:49:28 GMT 2024","Wed Apr 03 22:49:33 GMT 2024","4634","webkit","UI/navbar.spec.js","Navbar tests","","","Go to the T-Shirts Gallery",""
"passed","Wed Apr 03 22:48:00 GMT 2024","Wed Apr 03 22:48:05 GMT 2024","4628","firefox","UI/createAccount.spec.js","Create Account Tests","","","Create  with a used username",""
"passed","Wed Apr 03 22:49:06 GMT 2024","Wed Apr 03 22:49:11 GMT 2024","5506","webkit","UI/login.spec.js","Login Tests","","","Login with valid credentials",""
