"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 03 00:24:50 GMT 2024","Wed Apr 03 00:24:53 GMT 2024","2385","webkit","API/getComics.spec.js","Fetch Comics from Marvel API","","","Fetch Spider-Man Comics",""
"passed","Wed Apr 03 00:25:22 GMT 2024","Wed Apr 03 00:25:26 GMT 2024","4641","webkit","UI/login.spec.js","Login Tests","","","Login with invalid credentials",""
"passed","Wed Apr 03 00:24:44 GMT 2024","Wed Apr 03 00:24:45 GMT 2024","298","webkit","API/getCharacters.spec.js","Fetch characters from Marvel API","","","Fetch less than 1 character",""
"passed","Wed Apr 03 00:25:17 GMT 2024","Wed Apr 03 00:25:22 GMT 2024","4604","webkit","UI/login.spec.js","Login Tests","","","Login with valid credentials",""
"passed","Wed Apr 03 00:23:46 GMT 2024","Wed Apr 03 00:23:50 GMT 2024","4417","chromium","UI/login.spec.js","Login Tests","","","Go to the Forgot Password page",""
"passed","Wed Apr 03 00:23:23 GMT 2024","Wed Apr 03 00:23:24 GMT 2024","952","chromium","API/getComicCharacters.spec.js","Fetch characters of a specified comic from Marvel API","","","Fetch X-Man character of a specified comic without a parameter",""
"passed","Wed Apr 03 00:24:47 GMT 2024","Wed Apr 03 00:24:48 GMT 2024","1196","webkit","API/getComicCharacters.spec.js","Fetch characters of a specified comic from Marvel API","","","Fetch X-Man character of a specified comic without ComicID",""
"passed","Wed Apr 03 00:24:43 GMT 2024","Wed Apr 03 00:24:44 GMT 2024","1436","webkit","API/getCharacters.spec.js","Fetch characters from Marvel API","","","Fetch All Characters",""
"passed","Wed Apr 03 00:24:20 GMT 2024","Wed Apr 03 00:24:25 GMT 2024","4621","firefox","UI/createAccount.spec.js","Create Account Tests","","","Create  with a used username",""
"passed","Wed Apr 03 00:23:24 GMT 2024","Wed Apr 03 00:23:25 GMT 2024","1001","chromium","API/getComicCharacters.spec.js","Fetch characters of a specified comic from Marvel API","","","Fetch X-Man character of a specified comic with invalid credentials",""
"passed","Wed Apr 03 00:24:07 GMT 2024","Wed Apr 03 00:24:08 GMT 2024","1002","firefox","API/getComicCharacters.spec.js","Fetch characters of a specified comic from Marvel API","","","Fetch X-Man character of a specified comic with invalid credentials",""
"passed","Wed Apr 03 00:24:44 GMT 2024","Wed Apr 03 00:24:44 GMT 2024","293","webkit","API/getCharacters.spec.js","Fetch characters from Marvel API","","","Fetch more than 100 characters",""
"passed","Wed Apr 03 00:24:06 GMT 2024","Wed Apr 03 00:24:07 GMT 2024","998","firefox","API/getComicCharacters.spec.js","Fetch characters of a specified comic from Marvel API","","","Fetch X-Man character of a specified comic without a parameter",""
"passed","Wed Apr 03 00:24:16 GMT 2024","Wed Apr 03 00:24:20 GMT 2024","3659","firefox","UI/createAccount.spec.js","Create Account Tests","","","Create account",""
"passed","Wed Apr 03 00:24:49 GMT 2024","Wed Apr 03 00:24:50 GMT 2024","974","webkit","API/getComicCharacters.spec.js","Fetch characters of a specified comic from Marvel API","","","Fetch X-Man character of a specified comic with invalid credentials",""
"passed","Wed Apr 03 00:24:39 GMT 2024","Wed Apr 03 00:24:42 GMT 2024","2720","firefox","UI/tshirtGallery.spec.js","T-Shirt Gallery tests","","","Add a TShirt to the cart",""
"passed","Wed Apr 03 00:23:33 GMT 2024","Wed Apr 03 00:23:37 GMT 2024","4420","chromium","UI/createAccount.spec.js","Create Account Tests","","","Create account",""
"passed","Wed Apr 03 00:23:28 GMT 2024","Wed Apr 03 00:23:33 GMT 2024","4714","chromium","UI/cart.spec.js","Cart","","","Remove product from cart",""
"passed","Wed Apr 03 00:24:03 GMT 2024","Wed Apr 03 00:24:04 GMT 2024","1355","firefox","API/getComicCharacters.spec.js","Fetch characters of a specified comic from Marvel API","","","Fetch X-Man characters of a specified comic",""
